School Giga ID,School Name,Longitude,Latitude,Education Level,Country ISO3 Code,Country Name,School Data Source,Nearest Tower,Nearest Tower Lat,Nearest Tower Lon,Distance to Nearest Tower (km),Connectivity Status
7cc63975-3473-35ea-b4c6-dcd3486d1e9d,Amele P.7 School,33.120819091796875,2.563869953155518,Unknown,UGA,Uganda,,45513,2.5644,32.9327,20.92057665495559,Poorly Connected
eafe870f-7c56-3474-8aab-58ea0e057f7c,Amelo P.S.,31.800199508666992,3.34224009513855,Unknown,UGA,Uganda,,41333,3.3715,31.8096,3.399975274282422,Poorly Connected
29b5b264-cf8d-3792-bb9b-e3e69d93eeb7,Amenemoit P.S.,34.24650955200195,0.719150006771088,Unknown,UGA,Uganda,,13393,0.6924,34.1973,6.225170245424981,Well Connected
0c5dc7a1-61cf-3ce3-bb22-3e6dedd2c801,Amen P.S,33.59278869628906,1.733530044555664,Unknown,UGA,Uganda,,15721,1.7342,33.5928,0.07409119548841962,Well Connected
87939431-cf7d-35b6-914f-ebe5bb17761f,AMENYA PRI. SCHOOL,33.8219108581543,1.391450047492981,Unknown,UGA,Uganda,,50701,1.423,33.794,4.6710143029113755,Well Connected
617f5663-430d-3ea2-9ae6-5c2ff7aca385,AMERE MOIT P/S,34.2469482421875,0.719060003757477,Unknown,UGA,Uganda,,13393,0.6924,34.1973,6.26348995751054,Well Connected
97c536a3-3759-3689-8c7f-5cd656086323,American College,33.412071228027344,0.444379985332489,Unknown,UGA,Uganda,,5873,0.4638,33.4457,4.315592178714155,Well Connected
4360e894-41ab-32a2-bf94-c38d5df9081d,Amero P.S.,33.80759048461914,2.105020046234131,Unknown,UGA,Uganda,,45222,2.1496,33.7236,10.564010319389297,Poorly Connected
812d1a85-9e9b-3f04-adc0-a39f25ad59fc,Amia P.S.,32.681888580322266,1.969020009040833,Unknown,UGA,Uganda,,29733,2.114,32.7968,20.504321890581608,Poorly Connected
24eb66c1-4b59-3bb7-88b4-a4f5f0ea362a,Amido P.S.,32.563720703125,2.313040018081665,Unknown,UGA,Uganda,,22695,2.2955,32.5724,2.166490159642848,Well Connected
957bf3a2-5e71-31a8-9fd1-0e790cbc0968,Amilimil P.S.,33.58892822265625,2.099169969558716,Unknown,UGA,Uganda,,7384,2.1036,33.5998,1.3048691158973889,Poorly Connected
76c176c0-005c-3eac-93d7-2906664f32f1,Amilobo P.S.,32.76298141479492,3.025729894638062,Unknown,UGA,Uganda,,40493,2.7329,32.9451,38.189786214291,Poorly Connected
aaea9f27-ee0f-36f6-9c02-30d5a39bf512,Amilo P.S.,32.44522857666016,1.961709976196289,Unknown,UGA,Uganda,,40066,1.9321,32.3766,8.307711108506515,Well Connected
17f441d1-ba78-3352-baeb-013bef7c7fd7,Aminit-Busano,34.222408294677734,1.281159996986389,Unknown,UGA,Uganda,,51863,1.2546,34.2628,5.369620484069828,Poorly Connected
fd96fe0f-e244-3f23-b56d-9f3bf363d612,AMINIT  BUSANO P/SCHOO/,34.2335090637207,1.290949940681458,Unknown,UGA,Uganda,,27317,1.2723,34.2718,4.734219986998795,Poorly Connected
6d6d1050-0bd8-35db-9a9b-07451f68e43c,Aminit-madera P.S,33.623619079589844,1.742280006408691,Unknown,UGA,Uganda,,18112,1.746,33.6163,0.9123688796406653,Well Connected
a86733b6-40f3-3216-9f68-dbc1b731a789,Aminit P.S.,33.51414108276367,1.747840046882629,Unknown,UGA,Uganda,,5698,1.7794,33.5451,4.903508132056497,Poorly Connected
c5cf44a5-880f-348d-ad16-d27b55aeaa51,Aminomir P.S.,32.39176940917969,2.372119903564453,Unknown,UGA,Uganda,,37071,2.3625,32.3975,1.240075178017123,Well Connected
054d915e-a27d-368e-9bc4-a0528dac2b3a,Amintenyo P.S.,33.207130432128906,2.464149951934814,Unknown,UGA,Uganda,,9401,2.408,33.4486,27.56450623345448,Poorly Connected
adac4ff8-6102-357a-b4f5-a2054de5c3bd,AMIR NTAMBI MEMORIAL  SEC.SCHOOL,32.01908874511719,0.149900004267693,Unknown,UGA,Uganda,,24652,0.1426,32.0151,0.9212584370986362,Well Connected
b10c1960-c627-3df6-a0c0-7dab65f6179c,Amita P.S.,33.555660247802734,2.719480037689209,Unknown,UGA,Uganda,,7795,2.6713,33.6487,11.636919095614637,Well Connected
66a88a1f-ee59-3be1-8c17-62538e7fad49,Amka Classic School,32.63658142089844,0.326590001583099,Unknown,UGA,Uganda,,16671,0.3267,32.6374,0.09193051182043512,Well Connected
ad596ec5-69f1-33b1-adbc-879337655216,Amocal P.S.,32.4167594909668,1.942000031471252,Unknown,UGA,Uganda,,40066,1.9321,32.3766,4.6001482937213165,Well Connected
8fa35921-0665-38e4-be15-22e4c8dc585a,Amokoge P.S.,32.886409759521484,2.089570045471191,Unknown,UGA,Uganda,,19301,2.1014,32.9375,5.832153618681257,Poorly Connected
d258eedf-51d4-3b5b-a2c9-ab7321867ac7,Amoko-Lagwai P.S.,33.07123947143555,3.047399997711182,Unknown,UGA,Uganda,,40493,2.7329,32.9451,37.49770714726908,Poorly Connected
71b1ee6c-f0d8-3222-ad67-83d8069b54b8,Amolatar P.S. Seven School,32.85765075683594,1.641270041465759,Unknown,UGA,Uganda,,8523,1.4659,33.143,37.20626263538227,Poorly Connected
6a8f4f45-be96-3859-9baf-07d486a491ab,Amolo P.S.,33.82149887084961,1.862550020217896,Unknown,UGA,Uganda,,50362,1.8619,33.8215,0.07187638682729688,Well Connected
fddcbed0-32bc-35d1-9c46-c0d5c9e8bf0b,AMON CHURCH OF UGANDA P/S,34.28160858154297,0.709819972515106,Unknown,UGA,Uganda,,16830,0.6402,34.2794,7.70211324376935,Poorly Connected
eab1edca-ab35-3688-850f-7ec6472f7c82,Amoni COU,34.018348693847656,0.961499989032745,Unknown,UGA,Uganda,,526361,0.9533,34.0306,1.637554075087035,Poorly Connected
5f90c89d-7305-3916-b99f-955a27c925dd,Amonikakinei P.S.,34.01987075805664,0.324360013008118,Unknown,UGA,Uganda,,56392,0.3249,33.996,2.6579090139399484,Poorly Connected
edaf24aa-7cea-3bca-a4d4-518bc6a3bc80,Amoni P.S.,33.54679107666016,2.384310007095337,Unknown,UGA,Uganda,,9421,2.3921,33.5166,3.4666778324671776,Well Connected
a119fe0c-0358-3291-ad21-21cc9ba5046a,Amoni P.S.,34.27798080444336,0.727980017662048,Unknown,UGA,Uganda,,15207,0.6636,34.2248,9.258459103698053,Well Connected
5031154f-8b28-3c23-922e-f188ec213e65,Amoni P.S.,33.636199951171875,2.299170017242432,Unknown,UGA,Uganda,,53671,2.3011,33.6034,3.6545880661177907,Well Connected
645e4944-9287-3992-9569-2fdb03c09216,Amonolocoo P.S.,32.884159088134766,1.959609985351562,Unknown,UGA,Uganda,,44541,1.9841,32.969,9.819670703570141,Poorly Connected
ae5b22d1-756a-335c-90d0-868fb3ecbd5d,Amononeno P.7 School,33.28361129760742,2.087990045547485,Unknown,UGA,Uganda,,10631,1.9344,33.3328,17.843185388096735,Poorly Connected
1b2b410b-be68-343a-94d6-3eeb368a2e99,AMON P/S,34.27806091308594,0.728429973125458,Unknown,UGA,Uganda,,15207,0.6636,34.2248,9.302448986872726,Well Connected
fb97f606-8be6-3111-b921-c6f25fce412e,Amorigoga P.S.,32.84716033935547,1.997359991073608,Unknown,UGA,Uganda,,26246,2.0409,32.9581,13.247914583691838,Poorly Connected
fa01864c-ac4f-3b0e-80c1-e1c9b61a0059,Amori P.S.,34.02265167236328,0.654579997062683,Unknown,UGA,Uganda,,10203,0.606,34.0471,6.021734909438695,Well Connected
8048e621-43c7-3932-a349-677ba9168edf,AMORI P/SCHOOL,34.06700897216797,0.679790019989014,Unknown,UGA,Uganda,,41313,0.6316,34.105,6.802728584495233,Poorly Connected
1a28ab8c-0686-3fe9-a043-e23bb1919701,AMORI P/SCHOOL,34.02281951904297,0.65489000082016,Unknown,UGA,Uganda,,10203,0.606,34.0471,6.04395498522362,Well Connected
4c60712c-5f17-3480-834d-2860f1e17f1f,Amorwongora P.S.,34.08430099487305,1.94582998752594,Unknown,UGA,Uganda,,26916,1.9471,34.0824,0.2538740007776832,Well Connected
b1f6aa47-6836-3e29-82e2-8e6dd71ba88a,Amos Bright Academy,32.58673858642578,0.29135999083519,Unknown,UGA,Uganda,,1144,0.2926,32.5861,0.1544450190010256,Well Connected
b71d0987-1a5a-34ec-a47f-8d275f4b0af1,AMRWONGORA PRIMARY SCHOOL,34.08464050292969,1.94608998298645,Unknown,UGA,Uganda,,26916,1.9471,34.0824,0.2731446679996257,Well Connected
c84551da-7b1f-3fe7-a13b-e52e0fe210a9,Amua P.S.,31.80183982849121,3.633399963378906,Unknown,UGA,Uganda,,43421,3.6324,31.8048,0.34695861795713245,Well Connected
32254e73-b2ae-3102-af30-b5b5727ac2b1,Amuca P.S.,32.833770751953125,2.27239990234375,Unknown,UGA,Uganda,,7214,2.2726,32.836,0.24895009465208362,Well Connected
35900579-9fb4-363a-a695-41280bb0552b,Amuca S.D.A. P.S.,32.85300064086914,2.264300107955933,Unknown,UGA,Uganda,,25766,2.2648,32.8551,0.23997133020523162,Well Connected
aec38e91-ed5a-3e25-9c50-bd9966b0a646,Amuca S.D.A. S.S.,32.88190078735352,2.238600015640259,Unknown,UGA,Uganda,,15061,2.2364,32.8845,0.37785231064858027,Well Connected
54f90d5a-6dfb-3b5b-9282-715d89b45de0,Amucu P.S.,33.67462921142578,2.046969890594482,Unknown,UGA,Uganda,,45131,2.0332,33.6432,3.813625092996442,Poorly Connected
19846484-1812-35a9-ace4-05aef3591b3f,Amuda P.S. Seven School,33.0012092590332,1.982859969139099,Unknown,UGA,Uganda,,26247,1.9825,33.0022,0.11718999808766407,Well Connected
31479340-ebd1-3597-ab3c-8fcb8c85b921,Amudat B.FAL Centre.,34.948211669921875,1.952690005302429,Unknown,UGA,Uganda,,40811,1.5908,34.9929,40.32385148256543,Poorly Connected
1105aac4-bda9-3041-a8f1-85f0ef4ecb14,Amudat c,34.94424057006836,1.955170035362244,Unknown,UGA,Uganda,,40811,1.5908,34.9929,40.65248725306405,Poorly Connected
86ba6608-98ff-3ca0-a671-86b3300c2bc7,Amudat community /fal centre,34.944461822509766,1.953480005264282,Unknown,UGA,Uganda,,40811,1.5908,34.9929,40.46399765416013,Poorly Connected
c3f0f2c1-a827-3139-8861-79a58ce17f69,Amudat Education Centre,32.56547164916992,0.354240000247955,Unknown,UGA,Uganda,,404,0.3544,32.5652,0.03503449244794079,Well Connected
817c144f-c294-313b-b009-4fb32e465c5d,Amudat Islamic P.S,34.9439697265625,1.954990029335022,Unknown,UGA,Uganda,,40811,1.5908,34.9929,40.63678687191983,Poorly Connected
91eacc8c-31fd-3446-80ea-bb1794f3e630,AMUGAGARA PRI SCHOOL,33.80440139770508,1.532570004463196,Unknown,UGA,Uganda,,8105,1.5539,33.8271,3.4558553146778257,Well Connected
84594966-445e-3593-a943-c2ee17044cf3,Amugagara P.S.,33.804298400878906,1.532529950141907,Unknown,UGA,Uganda,,8105,1.5539,33.8271,3.467258252028796,Well Connected
fc223ca9-643b-35df-a7a6-284f80821a54,Amugei P.S.,33.810970306396484,2.150049924850464,Unknown,UGA,Uganda,,43753,2.1571,33.7271,9.3623617997056,Poorly Connected
b7149125-bb21-3846-8ce7-32d79a187c68,Amugo Quran P.S,32.90055084228516,2.245019912719727,Unknown,UGA,Uganda,,8207,2.2449,32.8995,0.11763968771419554,Well Connected
caa2cedd-8e76-364c-b092-0af3518218d7,Amugu P.S.,33.33256149291992,2.102220058441162,Unknown,UGA,Uganda,,10455,1.9396,33.349,18.074577088941492,Poorly Connected
fb4d28e7-3fc1-3632-b2df-d5124e90df8a,Amuja Vacational $ Industrial Training,29.98454093933105,-1.249400019645691,Unknown,UGA,Uganda,,3747,-1.2493,29.986,0.16275972810641232,Well Connected
f75b9a25-ac92-3093-ae05-7946cc792880,Amukol P.S.,34.35260009765625,1.32764995098114,Unknown,UGA,Uganda,,50712,1.3247,34.352,0.33295707938224167,Well Connected
0afe89cc-8a24-3b4b-b90f-35a4957e0c6d,Amukurat/Kalaki P.S.,33.309181213378906,1.894400000572205,Unknown,UGA,Uganda,,41481,1.899,33.3128,0.6487115331681202,Well Connected
3942b402-8200-385d-88ed-0954276013ab,AMUKURAT/KALAKI P/SCHOOL,33.30942153930664,1.894569993019104,Unknown,UGA,Uganda,,41481,1.899,33.3128,0.6174478744489824,Well Connected
c37d1463-e5b4-35d1-8b2b-91a8fff07a3e,Amukurat P.S.,33.829620361328125,1.805909991264343,Unknown,UGA,Uganda,,36527,1.8585,33.8324,5.82338007671003,Poorly Connected
818957a8-ba62-3d3d-bb6e-4bebbef81d0c,Amun Amun P.S.,32.890098571777344,2.061049938201904,Unknown,UGA,Uganda,,32075,2.0851,32.943,6.458090392985306,Poorly Connected
9eb22701-d3ad-366a-95a3-857a1daab83a,Amunga P.7 School,33.16630935668945,2.524980068206787,Unknown,UGA,Uganda,,40503,2.4898,32.935,26.017217458161674,Poorly Connected
fd2a4393-e7fc-3f29-bd66-a0a8e4631ce4,Amungura Compresive College,34.0075798034668,0.317440003156662,Unknown,UGA,Uganda,,40833,0.3211,33.996,1.351074473614956,Well Connected
a98f801b-3f2a-3660-9c9c-e7b68b8d9f04,Amun P.S.,32.50693130493164,1.845639944076538,Unknown,UGA,Uganda,,40066,1.9321,32.3766,17.368575724448686,Well Connected
68092268-20c5-3942-a311-a7cbee57ce7b,Amura Parents' School,33.231300354003906,2.317349910736084,Unknown,UGA,Uganda,,9422,2.1817,33.116,19.735203295140206,Well Connected
3c0c90ef-fa9f-3773-9853-161bd7ba26c6,Amuria H.S.,33.64537048339844,2.029979944229126,Unknown,UGA,Uganda,,45131,2.0332,33.6432,0.4302145408843177,Well Connected
3c159dee-70e3-35d6-be4c-fe10d281383f,Amuria P.S.,33.63980865478516,2.031090021133423,Unknown,UGA,Uganda,,45131,2.0332,33.6432,0.44359904297919717,Well Connected
cb073bce-c11d-3068-b857-b8df219799c0,Amuria S.S.,33.638519287109375,2.031699895858765,Unknown,UGA,Uganda,,45131,2.0332,33.6432,0.5465100062588337,Well Connected
b0740187-163c-3d81-a1ca-3bbe89ce69ef,Amuro-Alero,31.94236946105957,2.809410095214844,Unknown,UGA,Uganda,,44061,2.8141,31.9474,0.7627504396584274,Well Connected
091fc2a7-12ee-3ade-b187-ed84d317b068,Amuru - Lamogi P.S,31.941490173339844,2.809410095214844,Unknown,UGA,Uganda,,44061,2.8141,31.9474,0.8370849740964765,Well Connected
02c82524-b099-33a6-b578-905a11efe121,Amuru P.S.,31.89164924621582,3.324219942092896,Unknown,UGA,Uganda,,30187,3.3411,31.8887,1.8951211239292092,Well Connected
bf5d3289-1e54-3936-b13e-04693819215e,Amuru Rec Kiceke P.S.,31.926130294799805,2.822949886322021,Unknown,UGA,Uganda,,44061,2.8141,31.9474,2.5593629607249357,Poorly Connected
37696911-d843-37b8-a10e-8887328bacc7,Amuru S.S.S,31.941329956054688,2.806999921798706,Unknown,UGA,Uganda,,44061,2.8141,31.9474,1.035320738368016,Poorly Connected
d63a3a89-0ac4-3ac0-bdf8-cb69d0bd5d0b,Amurwo P.S.,34.10221099853516,0.886409997940063,Unknown,UGA,Uganda,,3925,0.8816,34.1155,1.5718661686519801,Poorly Connected
0b4f9e7c-4464-38e7-be21-db3bed1a60f4,AMUSIA PRI SCHOOL,34.02037811279297,1.798959970474243,Unknown,UGA,Uganda,,5637,1.9135,34.0254,12.677633036434523,Poorly Connected
e4b5f4d7-4977-3bdf-b6a6-d92fcec805a1,Amusia P.S.,34.020538330078125,1.798939943313599,Unknown,UGA,Uganda,,5637,1.9135,34.0254,12.679072392517389,Poorly Connected
a4b7ddcb-2234-3bbb-b54d-6e39de52d5ab,Amusiat P.S.,33.7712516784668,1.158429980278015,Unknown,UGA,Uganda,,850284,1.1594,33.7733,0.25194397964503423,Well Connected
e5236bde-16ce-3267-b929-0ee506d3a353,Amus P.S.,34.15888977050781,1.168460011482239,Unknown,UGA,Uganda,,25666,1.1676,34.1565,0.2824621527061491,Well Connected
bdb7e2a8-a8c8-3188-a3b9-0b310d1c62f6,AMUS P/SCHOOL,34.15913009643555,1.168210029602051,Unknown,UGA,Uganda,,25666,1.1676,34.1565,0.30039201317784603,Well Connected
2feaa541-ee12-3a86-8d30-740ae54b7fd1,Amus Sapir P.S.,34.16830825805664,1.179020047187805,Unknown,UGA,Uganda,,36711,1.1708,34.1748,1.1611066495506905,Well Connected
12d7932c-4e1b-38ee-ac5c-195d62831546,AMUS SAPIR P/SCH,34.1685905456543,1.17891001701355,Unknown,UGA,Uganda,,36711,1.1708,34.1748,1.1321607222561223,Well Connected
33b404aa-3b5a-3f07-ac27-00acc9f43266,Amusus P.S.,33.5644416809082,2.108360052108765,Unknown,UGA,Uganda,,7384,2.1036,33.5998,3.968489205282888,Poorly Connected
629c6948-578e-398b-8606-339f66570794,Amwa Comp. S.S,32.38740158081055,2.319720029830933,Unknown,UGA,Uganda,,45422,2.3213,32.3823,0.5937287529649594,Well Connected
8d267690-e9f7-3b14-b326-27a26140398d,Amwa Dem. P.S.,32.3866081237793,2.322629928588867,Unknown,UGA,Uganda,,45422,2.3213,32.3823,0.5012447928984279,Well Connected
b81c0d7f-6178-379b-8f9b-4762d94f84e6,Amwanga P. 7 School,32.69240951538086,1.920590043067932,Unknown,UGA,Uganda,,29733,2.114,32.7968,24.336263250411285,Poorly Connected
58d2ec41-9c92-3b46-b9ae-3b14446531be,Amwoma P.S.,33.134300231933594,1.986410021781921,Unknown,UGA,Uganda,,12776,1.9534,33.1122,4.400984276034984,Well Connected
